State,2016,Party
Vermont,31659.0,D
Wyoming,35740.3,R
Montana,45457.9,R
South Dakota,48606.1,R
Alaska,49363.4,R
North Dakota,50833.1,R
Rhode Island,57693.9,D
Maine,59753.9,D
Idaho,69029.4,R
Delaware,69549.7,D
West Virginia,69721.4,R
New Hampshire,78477.9,D
Hawaii,85843.8,D
New Mexico,91043.6,D
Mississippi,107096.6,R
Nebraska,116193.8,R
Arkansas,120374.8,R
District of Columbia,129826.1,D
Nevada,151215.1,D
Kansas,156857.4,R
Utah,157883.3,R
Oklahoma,178913.2,R
Iowa,179546.6,R
Kentucky,195342.2,R
Alabama,203829.8,R
South Carolina,212987.4,R
Oregon,215050.4,D
Louisiana,227226.7,R
Connecticut,263696.4,D
Missouri,297582.6,R
Arizona,311091.0,R
Wisconsin,313532.4,R
Colorado,329368.3,D
Tennessee,335025.7,R
Indiana,338126.1,R
Minnesota,339100.1,D
Maryland,384889.1,D
Washington,491358.2,D
Michigan,491774.2,R
Virginia,493877.9,D
North Carolina,519122.1,R
Massachusetts,519407.6,D
Georgia,539525.1,R
New Jersey,582427.5,D
Ohio,622835.2,R
Pennsylvania,726163.9,R
Illinois,806315.5,D
Florida,938774.2,R
New York,1539555.2,D
Texas,1565632.2,R
California,2657797.6,D
